Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_055_F	0.00024530673761719	0.00202397366680442	0.00519227480967654	0.000850433136577902	0.000329676260752729	0.00041959327722048	3.13925400531854e-05	0.000485396918012789	5.86019242692319e-05	0.00023032733277175	7.17912774184386e-05	0.000427915725491953	0.00154805782595861
4_Transposome/JG_CO_055_G	0.000216526698266951	0.00313200585952179	0.0102999786262786	0.00140515016965495	0.000367701918092506	0.000685697115795859	2.69975583051714e-05	0.000652746588470493	4.47796383067731e-05	0.000157467880485135	7.61241009062426e-05	0.000423769838245727	0.00181907975524466
4_Transposome/JG_CO_055_H	0.000281194728315104	0.00348538980730938	0.012768609111667	0.000695070559781452	0.000331503922120868	0.000470137200950215	2.53254594021677e-05	0.000708497538059102	5.58743813912116e-05	0.000200516714623461	7.00894419246894e-05	0.000485467571546624	0.00161467362252419
4_Transposome/JG_CO_055_I	0.000212091578508187	0.0023782643878622	0.00644502821073764	0.000629984910928866	0.000347743841497028	0.000432440320845421	2.87061586264392e-05	0.000449420742631837	4.60187488803287e-05	0.000227295262550998	6.18982613155279e-05	0.00041616474250391	0.00152506997337492
4_Transposome/JG_CO_055_K	0.000216920555476802	0.00193055084723595	0.00480054531581244	0.000737354574182267	0.000335042597590872	0.000506520390698277	2.57660921495114e-05	0.000475342776178392	4.57609105528332e-05	0.000226560023668341	9.2393278848238e-05	0.000461847177798938	0.00154198953113631
4_Transposome/JG_CO_059_A	0.000200413570476536	0.00238295644609387	0.0125665438361763	0.00104125856662967	0.00025500183328254	0.000392554218551462	2.62518896741957e-05	0.000458686959124772	4.53409894947483e-05	0.000270771260575013	7.02293770550242e-05	0.000353172565322354	0.00184697725151011
4_Transposome/JG_CO_059_B	0.000266670234221904	0.00327089090632307	0.0110122215418661	0.000828497955440395	0.00029734052499287	0.00047116194873391	3.39381260692913e-05	0.000512262121294773	5.25581686222442e-05	0.00023899369473561	7.57241961021696e-05	0.000416457989208851	0.00187378110549578
4_Transposome/JG_CO_059_C	0.000230165422848626	0.00187686997099619	0.00386133194598201	0.000814494242476424	0.000350355915454463	0.000475852030313533	3.70996675582789e-05	0.000578016483703046	5.17055790770944e-05	0.000279210864049527	7.81266774242623e-05	0.000576528477855798	0.00200788945820865
4_Transposome/JG_CO_059_D	0.000222718343365441	0.0027136582773731	0.0057316049994456	0.00093641690585621	0.000425376576596751	0.000403588282224604	3.96827369977436e-05	0.000519674913549503	5.68209944215466e-05	0.000220104420898767	7.80548247954281e-05	0.000487875768818385	0.00202016378013181
4_Transposome/JG_CO_059_E	0.000259461138018096	0.00582755909693881	0.0259164348487601	0.00117687055006306	0.000269212521824444	0.000691432045983741	2.97588027304557e-05	0.000559189097234626	5.31334848195539e-05	0.000202869225973876	8.52021512074272e-05	0.000511443808374796	0.00251575425981015
4_Transposome/JG_CO_059_F	0.000269585427798776	0.00187136208295374	0.00492095729809163	0.000745467724058368	0.000252391831813743	0.000414508576765371	2.6908624844323e-05	0.000498994775133318	4.98286402489067e-05	0.000259440162774303	7.54785970140062e-05	0.000457157425498703	0.00152870446021986
4_Transposome/JG_CO_059_G	0.000247585932474864	0.0016241384273625	0.00371218500700763	0.000737987851965279	0.000298496464202659	0.000436340723534888	2.74714222803028e-05	0.000484727203727161	5.12859630801837e-05	0.000260308168114714	6.72156001383451e-05	0.000375213755502487	0.00160869210869494
4_Transposome/JG_CO_059_H	0.000273034562165916	0.0030493781821609	0.0153542502649858	0.000864959217681161	0.000298103293447037	0.000394587090366527	3.23726794337912e-05	0.000430256167315245	4.18035930366303e-05	0.000263352140057701	6.37685094665531e-05	0.000516465711443169	0.00203090115917128
4_Transposome/JG_CO_059_I	0.000232560463637789	0.00378189845435831	0.015581625746789	0.000995490510484628	0.000312221272996516	0.000647839780688636	3.2102521076884e-05	0.000521763984980804	8.111903399959e-05	0.000224667158051895	7.68876018696949e-05	0.000474002021681445	0.00141355364095623
4_Transposome/JG_CO_059_J	0.000248493720171881	0.0026658861328378	0.00721924370654157	0.000843264346927486	0.00026473901770041	0.000396052001440299	3.00058423241262e-05	0.000414487160498554	4.56114399487876e-05	0.000214651865348704	7.31139892242204e-05	0.000409611183789979	0.00159803089792595
4_Transposome/JG_CO_059_K	0.000248709893073975	0.0022089872254516	0.00431085913225236	0.000789491701213434	0.000285567640361635	0.000399269636610047	2.38824418263281e-05	0.000505620239866769	6.0900275500215e-05	0.000221753555370313	6.17765458357473e-05	0.000363895789162897	0.00133107150284415
4_Transposome/JG_CO_059_L	0.000221561159762326	0.00242997721748978	0.00847527521366416	0.000621947787322387	0.00036839202353288	0.000307398787843318	2.52768196879699e-05	0.000487615339352687	3.60040802223463e-05	0.000206720425837178	7.64251284354503e-05	0.000380014053707677	0.00143760478747114
4_Transposome/JG_CO_064_A	0.000248359741910182	0.00204748090004627	0.00443592188692323	0.000728472565022268	0.000288871379825986	0.000427049307040541	3.47414045688499e-05	0.000442117913914321	5.12536714785111e-05	0.000228486503369007	7.37392045479835e-05	0.000414200045803759	0.00124878953240211
4_Transposome/JG_CO_064_B	0.000263423708099725	0.00463650267995943	0.0129293497504106	0.000921235910804925	0.000438801274338937	0.000373568304266447	4.14461913648924e-05	0.000672659042219669	3.76730197119143e-05	0.000190770320411761	8.38178448196373e-05	0.000529591831762243	0.00156262212098257
4_Transposome/JG_CO_064_C	0.000206217155704026	0.00219204291207506	0.00609321972895621	0.000789778629061461	0.000374617199532405	0.000491937235767391	3.21076568629305e-05	0.000541367421890522	4.48604119648012e-05	0.000152338508760584	8.87588548129638e-05	0.000373482334079407	0.00178034002087576
4_Transposome/JG_CO_064_D	0.000296658677585556	0.00334212206699951	0.0123994878024901	0.00126643362275038	0.000396044203832484	0.000457912856147036	2.62973969549256e-05	0.00055502534866658	5.11377387383019e-05	0.000205106970123747	7.66296611907019e-05	0.000671249421887841	0.00166834276797525
